Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"GE","Enteric Fermentation","5100","Africa","72254","Emissions (CH4) (Enteric)","976","Sheep","1968","1968","gigagrams","789.9164","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GE","Enteric Fermentation","5100","Africa","72254","Emissions (CH4) (Enteric)","976","Sheep","1969","1969","gigagrams","806.1092","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GE","Enteric Fermentation","5100","Africa","72254","Emissions (CH4) (Enteric)","976","Sheep","1970","1970","gigagrams","796.2567","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GE","Enteric Fermentation","5100","Africa","72254","Emissions (CH4) (Enteric)","976","Sheep","1971","1971","gigagrams","803.1992","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GE","Enteric Fermentation","5100","Africa","72254","Emissions (CH4) (Enteric)","976","Sheep","1972","1972","gigagrams","784.1272","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GE","Enteric Fermentation","5100","Africa","72254","Emissions (CH4) (Enteric)","976","Sheep","1973","1973","gigagrams","793.522","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GE","Enteric Fermentation","5100","Africa","72254","Emissions (CH4) (Enteric)","976","Sheep","1974","1974","gigagrams","791.2389","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GE","Enteric Fermentation","5100","Africa","72254","Emissions (CH4) (Enteric)","976","Sheep","1975","1975","gigagrams","815.5584","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GE","Enteric Fermentation","5100","Africa","72254","Emissions (CH4) (Enteric)","976","Sheep","1976","1976","gigagrams","816.3091","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GE","Enteric Fermentation","5100","Africa","72254","Emissions (CH4) (Enteric)","976","Sheep","1977","1977","gigagrams","853.6403","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GE","Enteric Fermentation","5100","Africa","72254","Emissions (CH4) (Enteric)","976","Sheep","1978","1978","gigagrams","871.7671","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GE","Enteric Fermentation","5100","Africa","72254","Emissions (CH4) (Enteric)","976","Sheep","1979","1979","gigagrams","883.1769","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GE","Enteric Fermentation","5100","Africa","72254","Emissions (CH4) (Enteric)","976","Sheep","1980","1980","gigagrams","923.7951","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GE","Enteric Fermentation","5100","Africa","72254","Emissions (CH4) (Enteric)","976","Sheep","1981","1981","gigagrams","932.0329","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GE","Enteric Fermentation","5100","Africa","72254","Emissions (CH4) (Enteric)","976","Sheep","1982","1982","gigagrams","937.1714","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GE","Enteric Fermentation","5100","Africa","72254","Emissions (CH4) (Enteric)","976","Sheep","1983","1983","gigagrams","943.9954","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GE","Enteric Fermentation","5100","Africa","72254","Emissions (CH4) (Enteric)","976","Sheep","1984","1984","gigagrams","927.0951","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GE","Enteric Fermentation","5100","Africa","72254","Emissions (CH4) (Enteric)","976","Sheep","1985","1985","gigagrams","945.9745","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GE","Enteric Fermentation","5100","Africa","72254","Emissions (CH4) (Enteric)","976","Sheep","1986","1986","gigagrams","950.6765","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GE","Enteric Fermentation","5100","Africa","72254","Emissions (CH4) (Enteric)","976","Sheep","1987","1987","gigagrams","973.9233","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GE","Enteric Fermentation","5100","Africa","72254","Emissions (CH4) (Enteric)","976","Sheep","1988","1988","gigagrams","986.4403","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GE","Enteric Fermentation","5100","Africa","72254","Emissions (CH4) (Enteric)","976","Sheep","1989","1989","gigagrams","1026.7421","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GE","Enteric Fermentation","5100","Africa","72254","Emissions (CH4) (Enteric)","976","Sheep","1990","1990","gigagrams","1036.8185","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GE","Enteric Fermentation","5100","Africa","72254","Emissions (CH4) (Enteric)","976","Sheep","1991","1991","gigagrams","1036.5386","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GE","Enteric Fermentation","5100","Africa","72254","Emissions (CH4) (Enteric)","976","Sheep","1992","1992","gigagrams","1045.0126","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GE","Enteric Fermentation","5100","Africa","72254","Emissions (CH4) (Enteric)","976","Sheep","1993","1993","gigagrams","1013.0898","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GE","Enteric Fermentation","5100","Africa","72254","Emissions (CH4) (Enteric)","976","Sheep","1994","1994","gigagrams","1064.4207","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GE","Enteric Fermentation","5100","Africa","72254","Emissions (CH4) (Enteric)","976","Sheep","1995","1995","gigagrams","1068.1364","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GE","Enteric Fermentation","5100","Africa","72254","Emissions (CH4) (Enteric)","976","Sheep","1996","1996","gigagrams","1100.561","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GE","Enteric Fermentation","5100","Africa","72254","Emissions (CH4) (Enteric)","976","Sheep","1997","1997","gigagrams","1137.3869","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GE","Enteric Fermentation","5100","Africa","72254","Emissions (CH4) (Enteric)","976","Sheep","1998","1998","gigagrams","1175.5501","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GE","Enteric Fermentation","5100","Africa","72254","Emissions (CH4) (Enteric)","976","Sheep","1999","1999","gigagrams","1218.3954","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GE","Enteric Fermentation","5100","Africa","72254","Emissions (CH4) (Enteric)","976","Sheep","2000","2000","gigagrams","1235.1035","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GE","Enteric Fermentation","5100","Africa","72254","Emissions (CH4) (Enteric)","976","Sheep","2001","2001","gigagrams","1259.5587","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GE","Enteric Fermentation","5100","Africa","72254","Emissions (CH4) (Enteric)","976","Sheep","2002","2002","gigagrams","1288.5187","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GE","Enteric Fermentation","5100","Africa","72254","Emissions (CH4) (Enteric)","976","Sheep","2003","2003","gigagrams","1307.1622","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GE","Enteric Fermentation","5100","Africa","72254","Emissions (CH4) (Enteric)","976","Sheep","2004","2004","gigagrams","1348.8394","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GE","Enteric Fermentation","5100","Africa","72254","Emissions (CH4) (Enteric)","976","Sheep","2005","2005","gigagrams","1384.076","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GE","Enteric Fermentation","5100","Africa","72254","Emissions (CH4) (Enteric)","976","Sheep","2006","2006","gigagrams","1403.3358","A","Aggregate, may include official, semi-official, estimated or calculated data"
